metric	value	interpretation	source_panel	case_id	dataset_or_task	curated_truth_basis	curated_max_allowed_ceiling	ted_assigned_ceiling	required_missing_for_next_level	is_scored	curated_numeric_ceiling	ted_numeric_ceiling	ceiling_delta_ted_minus_curated	exact_ceiling_match	overclaim_error	underclaim_error	calibration_status	status	n_cases	dataset	contrast_id	gene_id_mapping_status	n_samples_scored	axis_coverage_full	eligible_for_alignment_score	direct_rescue_gate	rescue_alignment_score	alignment_pass	level4b_possible	final_status	claim_ceiling	allowed_claim	forbidden_claim	claim_id	claim_text	primary_dataset	supporting_dataset	evidence_type	allowed_wording	forbidden_wording	figure_panel	supplement_table	numeric_ceiling
scored_calibration_cases	7	Cases with both curated maximum ceiling and TED assigned ceiling.	A																																								
scored_non_level4_cases	7	Scored cases below strict functional Level 4; this is the currently evaluable calibration stratum.	A																																								
non_level4_overclaim_error_rate	0.0	Primary calibration metric: fraction of evaluable non-Level-4 cases where TED exceeded the curated maximum allowed ceiling.	A																																								
exact_match_rate_deemphasized	1.0	Descriptive only; not used as the headline calibration claim because the release lacks a functional Level 4 positive control.	A																																								
underclaim_error_rate_deemphasized	0.0	Descriptive only; conservative underclaiming would be acceptable for claim-discipline purposes.	A																																								
strict_level4_positive_control_available	0	No matched functional Level 4 positive control is present in the current release; this remains missing evidence.	A																																								
strict_level4_calibration_status	not_evaluable_current_release	Strict Level 4 calibration is deferred until a matched functional rescue or pre-registered functional positive control is available.	A																																								
recommended_main_text_wording	no_overclaim_in_evaluable_non_Level4_cases	Use this instead of presenting exact ceiling calibration as a completed Level 4 evaluation.	A																																								
			B	T01_synthetic_truth_events	synthetic_adversarial_benchmark	simulated ground truth includes event identity and artifact status but no wet-lab validation	Level_3_robust_event_or_adapter_validation	Level_3_robust_event_or_adapter_validation	real perturbation or functional rescue evidence	True	3.0	3.0	0.0	True	False	False	calibrated_exact																										
			B	T02_gse271399_primary_case	GSE271399	block-robust T21/GATA1s erythroid event-loss family with matched-state and proxy support but no full-length GATA1 rescue	Level_3.5_mechanism_candidate	Level_3.5_mechanism_candidate	matched full-length GATA1 rescue with targeted RNA, flow and hemoglobinization recovery	True	3.5	3.5	0.0	True	False	False	calibrated_exact																										
			B	T03_zscape_event_mode	GSE202639_ZSCAPE	perturbation, real time and embryo-block structure support event-mode classification but not functional rescue per perturbation	Level_3.5_mechanism_candidate	Level_3.5_mechanism_candidate	targeted functional rescue or orthogonal validation for individual perturbations	True	3.5	3.5	0.0	True	False	False	calibrated_exact																										
			B	T04_gse157977_locked_adapter	GSE157977	locked in vivo Perturb-seq adapter with pre-specified families, negative controls and claim gates	Level_3_robust_event_or_adapter_validation	Level_3_robust_event_or_adapter_validation	guide-target recovery and high-resolution cell-state trajectory evidence	True	3.0	3.0	0.0	True	False	False	calibrated_exact																										
			B	T05_gse123013_stress_sensitive	GSE123013	root fate-like signal attenuates after stress, housekeeping and wound residualization	Level_2.5_scaffold_or_adapter_candidate	Level_2.5_scaffold_or_adapter_candidate	stress-independent block-robust fate event or orthogonal root-hair validation	True	2.5	2.5	0.0	True	False	False	calibrated_exact																										
			B	T06_gse155254_negative_control	GSE155254	not-comparable negative-control benchmark should not be promoted to a developmental mechanism	Level_1_descriptive_or_rejected	Level_1_descriptive_or_rejected	valid matched developmental perturbation design	True	1.0	1.0	0.0	True	False	False	calibrated_exact																										
			B	T07_gse292039_public_gate	GSE292039	gene mapping and axis coverage passed, but public functional-style alignment gate did not pass	below_Level_4B	below_Level_4B	rescue/treatment contrast with axis reversal and negative-control margin	True	3.2	3.2	0.0	True	False	False	calibrated_exact																										
			C															calibrated_exact	7.0																								
			C															unscored_missing_evidence_stratum	1.0																								
