packet_id	truth_biological_mode	truth_artifact_class	truth_identifiability	truth_n_blocks	truth_event_support_code	truth_e0_reason_code	truth_v_outcome	truth_v_reversal	truth_v_rescue	truth_v_replication	truth_v_tag
F0001	activation	none	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0002	activation	none	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0003	activation	none	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0004	activation	none	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0005	activation	none	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0006	activation	none	identifiable	3	E1		False	False	False	False	none
F0007	activation	none	identifiable	3	E1		True	False	False	False	outcome
F0008	activation	none	identifiable	3	E1		False	True	False	False	reversal
F0009	activation	none	identifiable	3	E1		False	False	True	False	rescue
F0010	activation	none	identifiable	3	E1		False	False	False	True	replication
F0011	activation	none	identifiable	5	E2		False	False	False	False	none
F0012	activation	none	identifiable	5	E2		True	False	False	False	outcome
F0013	activation	none	identifiable	5	E2		False	True	False	False	reversal
F0014	activation	none	identifiable	5	E2		False	False	True	False	rescue
F0015	activation	none	identifiable	5	E2		False	False	False	True	replication
F0016	activation	none	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0017	activation	none	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0018	activation	none	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0019	activation	none	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0020	activation	none	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0021	activation	none	ambiguous	3	E1		False	False	False	False	none
F0022	activation	none	ambiguous	3	E1		True	False	False	False	outcome
F0023	activation	none	ambiguous	3	E1		False	True	False	False	reversal
F0024	activation	none	ambiguous	3	E1		False	False	True	False	rescue
F0025	activation	none	ambiguous	3	E1		False	False	False	True	replication
F0026	activation	none	ambiguous	5	E1		False	False	False	False	none
F0027	activation	none	ambiguous	5	E1		True	False	False	False	outcome
F0028	activation	none	ambiguous	5	E1		False	True	False	False	reversal
F0029	activation	none	ambiguous	5	E1		False	False	True	False	rescue
F0030	activation	none	ambiguous	5	E1		False	False	False	True	replication
F0031	activation	none	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0032	activation	none	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0033	activation	none	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0034	activation	none	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0035	activation	none	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0036	activation	none	not_identifiable	3	E0	E0_not_identifiable	False	False	False	False	none
F0037	activation	none	not_identifiable	3	E0	E0_not_identifiable	True	False	False	False	outcome
F0038	activation	none	not_identifiable	3	E0	E0_not_identifiable	False	True	False	False	reversal
