claim_id	claim_text	primary_dataset	supporting_dataset	evidence_type	claim_ceiling	allowed_wording	forbidden_wording	figure_panel	supplement_table
C1	TED defines a calibrated dynamic pathway event object rather than only a gene score, pathway score, or q-value.	Phase4 benchmark suite	synthetic benchmark; stress tests; GSE271399; ZSCAPE; C. elegans; osmotic multiome	method_definition; benchmark; claim_ceiling	method-level contribution	TED outputs event-FDR, timing/mode, robustness, artifact checks, identifiability, and claim ceiling as one event object.	TED alone proves causal biology or replaces trajectory inference, fate mapping, OT, or pathway scoring.	Figure 1A-C	ted_object_schema_maintext.tsv; claim_ceiling_algorithm_spec.tsv; ted_identifiability_score.tsv
C2	TED remains useful under adversarial noise/dropout/block imbalance because low-identifiability cases are downgraded rather than overclaimed.	Phase4.5 adversarial benchmark	hard synthetic benchmark; negative-control stress tests; Phase4.6 baseline suite	synthetic benchmark; stress test; baseline comparison	algorithm benchmark support	TED shows lower overclaim and higher artifact rejection than task-specific baseline adapters in the defined TED-object task.	TED is superior to every external method on every native task.	Figure 2A-D	phase4_5_performance_ci.tsv; phase4_6_baseline_metric_table.tsv; phase4_ablation_summary.tsv
C3	GSE271399 supports a block-robust GATA1s/T21-context erythroid event-loss mechanism candidate.	GSE271399	GSE214810/GSE214811; E-MTAB-13070; external proxy ladder	family event; block robustness; matched/counterfactual support; external perturbation/multiome support	maximum Level 3.5 mechanism candidate; not Level 4	block-robust, counterfactual-supported, mediation-supported, prioritized erythroid candidate for future functional testing	functional causal mechanism; full-length GATA1 rescue proven; clinical disease mechanism proven	Figure 3A-F	gse271399_family_evidence_scorecard.tsv; ted_causal_mediation_family.tsv; ted_mediation_claim_ceiling.tsv
C4	Within GSE271399, regulatory, maturation, and heme/iron axes transmit part of the erythroid family loss signal without being fully explained by proliferation collapse.	GSE271399	GSE214810 driver ablation; Marderstein T21 multiome support	causal mediation proxy; negative mediator control; proliferation-adjusted analysis	Level 3.5 mechanism-supporting computational evidence	mediation-like support for an upstream regulatory-to-output chain, with negative controls lower than erythroid axes	formal biological mediation proven without perturbational rescue of the mediator chain	Figure 3G-H	ted_mediation_sign_consistency_check.tsv; ted_negative_control_mediation.tsv; ted_proliferation_adjusted_mediation.tsv
C5	ZSCAPE demonstrates TED-Development event-mode classification across perturbation, time, and embryo blocks.	GSE202639 ZSCAPE	Phase4 holdout validation	embryo-block event model; delay/loss classifier; holdout summary	Level 3.5 perturbation-aware developmental candidate	TED separates developmental delay, true fate loss, state accumulation, fate redirection, and composition artifacts in a perturbation-aware developmental setting.	functional rescue or causal mechanism for any specific zebrafish perturbation without targeted validation	Figure 4A-F	zscape_delay_vs_loss_classifier.tsv; zscape_embryo_block_permutation_fdr.tsv; zscape_holdout_validation.tsv
C6	Arabidopsis osmotic multiome data support an RNA/peak-layer stress-development event candidate, but not yet a full chromatin-first mechanism.	GSE235494/GSE235510	multiome-lag event upgrade; review-gap closure	RNA event; ATAC peak event; peak-gene null; gate audit	Level 3 RNA/peak-layer event candidate; not Level 3.5 chromatin-first mechanism	RNA and ATAC/peak-layer osmotic event with null-calibrated peak-gene concordance	strong chromatin-first developmental response without motif activity, motif-target concordance, and cell-type-specific lag	Supplementary Figure or Supplementary Figure	chromatin_first_claim_ceiling_refined.tsv; multiome_lag_upgrade_attempt.tsv; peak_gene_distance_stratified_concordance.tsv
C7	External proxy datasets repeatedly support GATA1s/GATA1 N-terminus-linked erythroid/heme output weakness, while remaining below rescue-level evidence.	external proxy ladder	GSE238115; GSE62879+GSE14980; GSE130156; GSE315981; GSE159072; GSE36787; GSE298761	fixed-axis directional concordance; proxy claim ceiling	external directional support below Level 4	multiple adjacent systems directionally support erythroid/heme weakness and selected immature/progenitor features	external public data prove GSE271399 rescue, human T21 specificity for all proxies, or Level 4 functional causality	Figure 5A-B or Supplementary Figure	external_proxy_ladder_summary.tsv; gse298761_prospective_single_cell_support_summary.tsv
C8	GSE298761 adds prospective mouse single-cell support but is capped as non-human, non-T21, non-rescue evidence.	GSE298761	external proxy ladder	10x scRNA marker-axis h5ad; QC; sample pseudobulk axis direction	mouse GATA1 N-terminus single-cell support; not Level 4	prospective mouse GATA1s single-cell support for erythroid/heme/maturation down and immature-axis up, with regulatory and housekeeping caveats	human T21 rescue, full TED trajectory refit, or functional validation	Supplementary Figure or Figure 5 supplement	gse298761_qc_summary.tsv; gse298761_pseudobulk_axis_direction.tsv; gse298761_claim_ceiling.tsv
C9	Algorithm sensitivity supports keeping Locked TED-current as primary while promoting ensemble evidence as TED-vNext candidate.	Phase4.8 algorithm sensitivity	GSE271399; ZSCAPE; negative controls; adversarial benchmark	variant registry; stress test; GSE271399 stability; claim ceiling audit	algorithm selection decision, not biological evidence upgrade	Locked TED-current remains the primary reference; EnsembleEvidence is a vNext candidate after raw refit confirmation.	algorithm variant selection upgrades biological claims or relaxes Level 4 functional validation requirements	Figure 5C-D or Supplementary Figure	variant_selection_decision.tsv; variant_gse271399_stability.tsv; ted_vnext_recommendation.md
C10	Cross-system comparison supports shared dynamic event grammar rather than simple orthologous-gene equivalence.	Phase3 cross-system grammar	plants; zebrafish; C. elegans; mouse; Drosophila scaffold datasets	event grammar compression; claim ceiling map	process-level comparative framework	shared event grammar classes such as regulatory priming, delay versus true loss, chromatin-to-RNA lag, and stress-development coupling	plant TF A equals animal TF B or conserved causal mechanism without matched perturbation evidence	Supplementary FigureA-D	event_grammar_compressed_classes.tsv; event_grammar_representative_examples.tsv; claim_ceiling_main_figure_table.tsv
