packet_id	variant	predicted_biological_mode	predicted_top_mode	predicted_artifact_class	predicted_identifiability	predicted_event_support_code	predicted_e0_reason_code	ambiguity_returned	collapsed_ladder_overstatement	predicted_v_tag	truth_biological_mode	truth_artifact_class	truth_identifiability	truth_n_blocks	truth_event_support_code	truth_e0_reason_code	truth_v_outcome	truth_v_reversal	truth_v_rescue	truth_v_replication	truth_v_tag
F0001	full_ted	activation	activation	none	identifiable	E0	E0_not_estimable	False	False	none	activation	none	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0002	full_ted	activation	activation	none	identifiable	E0	E0_not_estimable	False	False	outcome	activation	none	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0003	full_ted	activation	activation	none	identifiable	E0	E0_not_estimable	False	False	reversal	activation	none	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0004	full_ted	activation	activation	none	identifiable	E0	E0_not_estimable	False	False	rescue	activation	none	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0005	full_ted	activation	activation	none	identifiable	E0	E0_not_estimable	False	False	replication	activation	none	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0006	full_ted	activation	activation	none	identifiable	E1		False	False	none	activation	none	identifiable	3	E1		False	False	False	False	none
F0007	full_ted	activation	activation	none	identifiable	E1		False	False	outcome	activation	none	identifiable	3	E1		True	False	False	False	outcome
F0008	full_ted	activation	activation	none	identifiable	E1		False	False	reversal	activation	none	identifiable	3	E1		False	True	False	False	reversal
F0009	full_ted	activation	activation	none	identifiable	E1		False	False	rescue	activation	none	identifiable	3	E1		False	False	True	False	rescue
F0010	full_ted	activation	activation	none	identifiable	E1		False	False	replication	activation	none	identifiable	3	E1		False	False	False	True	replication
F0011	full_ted	activation	activation	none	identifiable	E2		False	False	none	activation	none	identifiable	5	E2		False	False	False	False	none
F0012	full_ted	activation	activation	none	identifiable	E2		False	False	outcome	activation	none	identifiable	5	E2		True	False	False	False	outcome
F0013	full_ted	activation	activation	none	identifiable	E2		False	False	reversal	activation	none	identifiable	5	E2		False	True	False	False	reversal
F0014	full_ted	activation	activation	none	identifiable	E2		False	False	rescue	activation	none	identifiable	5	E2		False	False	True	False	rescue
F0015	full_ted	activation	activation	none	identifiable	E2		False	False	replication	activation	none	identifiable	5	E2		False	False	False	True	replication
F0016	full_ted	ambiguous	activation	none	ambiguous	E0	E0_not_estimable	True	False	none	activation	none	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0017	full_ted	ambiguous	activation	none	ambiguous	E0	E0_not_estimable	True	False	outcome	activation	none	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0018	full_ted	ambiguous	activation	none	ambiguous	E0	E0_not_estimable	True	False	reversal	activation	none	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0019	full_ted	ambiguous	activation	none	ambiguous	E0	E0_not_estimable	True	False	rescue	activation	none	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0020	full_ted	ambiguous	activation	none	ambiguous	E0	E0_not_estimable	True	False	replication	activation	none	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0021	full_ted	ambiguous	activation	none	ambiguous	E1		True	False	none	activation	none	ambiguous	3	E1		False	False	False	False	none
F0022	full_ted	ambiguous	activation	none	ambiguous	E1		True	False	outcome	activation	none	ambiguous	3	E1		True	False	False	False	outcome
F0023	full_ted	ambiguous	activation	none	ambiguous	E1		True	False	reversal	activation	none	ambiguous	3	E1		False	True	False	False	reversal
F0024	full_ted	ambiguous	activation	none	ambiguous	E1		True	False	rescue	activation	none	ambiguous	3	E1		False	False	True	False	rescue
F0025	full_ted	ambiguous	activation	none	ambiguous	E1		True	False	replication	activation	none	ambiguous	3	E1		False	False	False	True	replication
F0026	full_ted	ambiguous	activation	none	ambiguous	E1		True	False	none	activation	none	ambiguous	5	E1		False	False	False	False	none
F0027	full_ted	ambiguous	activation	none	ambiguous	E1		True	False	outcome	activation	none	ambiguous	5	E1		True	False	False	False	outcome
F0028	full_ted	ambiguous	activation	none	ambiguous	E1		True	False	reversal	activation	none	ambiguous	5	E1		False	True	False	False	reversal
F0029	full_ted	ambiguous	activation	none	ambiguous	E1		True	False	rescue	activation	none	ambiguous	5	E1		False	False	True	False	rescue
F0030	full_ted	ambiguous	activation	none	ambiguous	E1		True	False	replication	activation	none	ambiguous	5	E1		False	False	False	True	replication
F0031	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_estimable	True	False	none	activation	none	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0032	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_estimable	True	False	outcome	activation	none	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0033	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_estimable	True	False	reversal	activation	none	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0034	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_estimable	True	False	rescue	activation	none	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0035	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_estimable	True	False	replication	activation	none	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0036	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	none	activation	none	not_identifiable	3	E0	E0_not_identifiable	False	False	False	False	none
F0037	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	outcome	activation	none	not_identifiable	3	E0	E0_not_identifiable	True	False	False	False	outcome
F0038	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	reversal	activation	none	not_identifiable	3	E0	E0_not_identifiable	False	True	False	False	reversal
F0039	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	rescue	activation	none	not_identifiable	3	E0	E0_not_identifiable	False	False	True	False	rescue
F0040	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	replication	activation	none	not_identifiable	3	E0	E0_not_identifiable	False	False	False	True	replication
F0041	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	none	activation	none	not_identifiable	5	E0	E0_not_identifiable	False	False	False	False	none
F0042	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	outcome	activation	none	not_identifiable	5	E0	E0_not_identifiable	True	False	False	False	outcome
F0043	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	reversal	activation	none	not_identifiable	5	E0	E0_not_identifiable	False	True	False	False	reversal
F0044	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	rescue	activation	none	not_identifiable	5	E0	E0_not_identifiable	False	False	True	False	rescue
F0045	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	replication	activation	none	not_identifiable	5	E0	E0_not_identifiable	False	False	False	True	replication
F0046	full_ted	ambiguous	activation	composition	identifiable	E0	E0_not_estimable	True	False	none	activation	composition	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0047	full_ted	ambiguous	activation	composition	identifiable	E0	E0_not_estimable	True	False	outcome	activation	composition	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0048	full_ted	ambiguous	activation	composition	identifiable	E0	E0_not_estimable	True	False	reversal	activation	composition	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0049	full_ted	ambiguous	activation	composition	identifiable	E0	E0_not_estimable	True	False	rescue	activation	composition	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0050	full_ted	ambiguous	activation	composition	identifiable	E0	E0_not_estimable	True	False	replication	activation	composition	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0051	full_ted	ambiguous	activation	composition	identifiable	E0	E0_artifact_dominated	True	False	none	activation	composition	identifiable	3	E0	E0_artifact_dominated	False	False	False	False	none
F0052	full_ted	ambiguous	activation	composition	identifiable	E0	E0_artifact_dominated	True	False	outcome	activation	composition	identifiable	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0053	full_ted	ambiguous	activation	composition	identifiable	E0	E0_artifact_dominated	True	False	reversal	activation	composition	identifiable	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0054	full_ted	ambiguous	activation	composition	identifiable	E0	E0_artifact_dominated	True	False	rescue	activation	composition	identifiable	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0055	full_ted	ambiguous	activation	composition	identifiable	E0	E0_artifact_dominated	True	False	replication	activation	composition	identifiable	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0056	full_ted	ambiguous	activation	composition	identifiable	E0	E0_artifact_dominated	True	False	none	activation	composition	identifiable	5	E0	E0_artifact_dominated	False	False	False	False	none
F0057	full_ted	ambiguous	activation	composition	identifiable	E0	E0_artifact_dominated	True	False	outcome	activation	composition	identifiable	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0058	full_ted	ambiguous	activation	composition	identifiable	E0	E0_artifact_dominated	True	False	reversal	activation	composition	identifiable	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0059	full_ted	ambiguous	activation	composition	identifiable	E0	E0_artifact_dominated	True	False	rescue	activation	composition	identifiable	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0060	full_ted	ambiguous	activation	composition	identifiable	E0	E0_artifact_dominated	True	False	replication	activation	composition	identifiable	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0061	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_not_estimable	True	False	none	activation	composition	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
