case_id	truth_reason	predicted_reason	n_candidate_reasons_before_precedence	candidate_reasons	single_final_reason_emitted
R_E0_not_supported_01	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_02	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_03	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_04	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_05	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_06	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_07	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_08	E0_not_supported	E0_not_estimable	1	E0_not_supported	True
R_E0_not_supported_09	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_10	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_11	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_12	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_13	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_14	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_15	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_16	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_17	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_18	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_19	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_20	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_21	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_22	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_23	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_24	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_25	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_26	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_27	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_28	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_29	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_30	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_31	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_32	E0_not_supported	E0_not_identifiable	1	E0_not_supported	True
R_E0_not_supported_33	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_34	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_35	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_36	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_37	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_38	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_39	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_40	E0_not_supported	E0_not_supported	1	E0_not_supported	True
R_E0_not_supported_41	E0_not_supported	E0_not_supported	2	E0_not_supported;E0_not_estimable	True
R_E0_not_supported_42	E0_not_supported	E0_not_supported	2	E0_not_supported;E0_not_estimable	True
R_E0_not_supported_43	E0_not_supported	E0_not_supported	2	E0_not_supported;E0_not_estimable	True
R_E0_not_supported_44	E0_not_supported	E0_not_supported	2	E0_not_supported;E0_not_estimable	True
R_E0_not_supported_45	E0_not_supported	E0_not_supported	2	E0_not_supported;E0_not_estimable	True
R_E0_not_supported_46	E0_not_supported	E0_not_supported	2	E0_not_supported;E0_not_estimable	True
R_E0_not_supported_47	E0_not_supported	E0_not_supported	2	E0_not_supported;E0_not_estimable	True
