comparison_id	baseline_curve_or_score_output	ted_event_output	baseline_event_type_accuracy_mean	TED_event_type_accuracy_mean	baseline_overclaim_rate_mean	TED_overclaim_rate_mean	why_event_table_is_different
tradeSeq_like_GAM	gene/module smooths and pseudotime differential trends	trajectory-associated pathway event with mode, onset, block gates and claim boundary	0.5921	0.9267	0.3147	0.0302	Fair comparison: the native method detects dynamics; TED is more reliable for turning dynamics into auditable event objects.
GSVA_like_event_calling	pathway/module activity scores and smoothed score changes	pathway-family event with event-FDR, family compression, mode, artifact gates and claim boundary	0.4596	0.9387	0.4261	0.0362	Pathway scoring is useful upstream, but direct scoring plus event calling is less reliable for TED-object claims.
AUCell_like_event_calling	rank-based cell-level activity calls for sparse marker programs	dropout-aware sparse marker event with conservative claim boundary	0.433	0.933	0.4326	0.0175	Rank activity remains useful, but TED-object construction is needed for robust event claims under dropout.
CINEMA_OT_like_or_NN_matching	state-matched perturbation contrast after composition adjustment	matched-state perturbation event with mode, block robustness and supported interpretation	0.5415	0.905	0.2137	0.0497	OT/matching is a strong upstream component; TED adds event interpretation and claim control.
CellRank_like_lineage_association	fate/lineage association or terminal tendency	lineage priming event with sister/branch mode and priming claim boundary	0.545	0.9199	0.3739	0.0456	Fate mapping is not replaced; TED formalizes when fate-associated dynamics justify a biological event claim.
multiome_lag_baseline	ATAC/RNA lag or peak-gene association without full null-gated event object	chromatin-to-RNA lag event with peak-gene null, concordance gates and claim boundary	0.742	0.9061	0.5385	0.0354	This is the clearest case where signal recovery alone is insufficient; TED prevents lag signal from becoming an unsupported chromatin-first claim.
WOT_like_time_coupling	ancestor-descendant or time-coupled state transitions	transport-informed dynamic event grammar with allowed biological claim					Included as positioning rather than metric attack: WOT solves a complementary upstream task.
dynamic_pathway_event_table	ssGSEA/AUCell/GSVA/rolling fgsea curves or scores	pathway x event rows with onset/peak/shutdown/branch/spatial labels, event_FDR, robustness and claim boundary	not_a_native_field	see benchmark_compact_table and dynamic_pathway_event_table	not_a_native_field	explicitly audited	The event table stores biological event grammar and missing evidence; score curves store activity magnitude only.
ssGSEA_score_curve	sample/window-level single-sample enrichment scores	standardized event rows with event type, event_FDR, robustness_score, claim_boundary, supported_interpretation and unsupported_interpretation	not_a_native_field	event_type_available_for_all_rows	not_a_native_field	claim_boundary_available_for_all_rows	The baseline is an upstream activity profile. TED standardizes the profile into onset/peak/shutdown/branch/spatial event grammar with audit fields.
AUCell_score_curve	cell-level rank activity calls	standardized event rows with event type, event_FDR, robustness_score, claim_boundary, supported_interpretation and unsupported_interpretation	not_a_native_field	event_type_available_for_all_rows	not_a_native_field	claim_boundary_available_for_all_rows	The baseline is an upstream activity profile. TED standardizes the profile into onset/peak/shutdown/branch/spatial event grammar with audit fields.
GSVA_score_curve	sample/window-level pathway activity scores	standardized event rows with event type, event_FDR, robustness_score, claim_boundary, supported_interpretation and unsupported_interpretation	not_a_native_field	event_type_available_for_all_rows	not_a_native_field	claim_boundary_available_for_all_rows	The baseline is an upstream activity profile. TED standardizes the profile into onset/peak/shutdown/branch/spatial event grammar with audit fields.
rolling_fgsea_profile	rolling-window enrichment NES and p-values	standardized event rows with event type, event_FDR, robustness_score, claim_boundary, supported_interpretation and unsupported_interpretation	not_a_native_field	event_type_available_for_all_rows	not_a_native_field	claim_boundary_available_for_all_rows	The baseline is an upstream activity profile. TED standardizes the profile into onset/peak/shutdown/branch/spatial event grammar with audit fields.
standardized_event_grammar_coverage	curve has local maxima/minima but no standardized event row	6 event types across 4 datasets					The standardized table turns curve features into audit-ready event objects.
