claim_id	manuscript_claim	exact_value	primary_source	interpretive_limit
SIM-01	Controlled-truth packet design	160 packets; 10 controlled packet classes x 16; factorized biological-mode, artifact, identifiability and multilabel V-provenance fields; packet-specific E truth in the current-task partitions; 5 rule-perturbation sensitivity profiles (Supplementary Information only)	results/ted_submission_calibration/controlled_packet_features.tsv; results/ted_submission_calibration/controlled_packet_class_factorization.tsv; results/ted_current_task_benchmark/current_task_packet_partitions.tsv; results/ted_submission_calibration/rule_perturbation_sensitivity_profiles.tsv; results/ted_submission_calibration/rule_perturbation_sensitivity_summary.tsv; results/ted_submission_calibration/run_config.json	The composite packet classes mix biological event modes, artifacts, identifiability and evidence provenance; they are not a ten-category biological event-mode ontology. E truth is packet-specific because it also depends on generated block count. The sensitivity profiles are deterministic stress tests and do not provide an additional truth source.
SIM-02	Controlled-truth packet-class classification	truth macro-F1 0.7597152708; balanced accuracy 0.7875	results/ted_submission_calibration/controlled_truth_metrics.tsv; results/ted_submission_calibration/controlled_truth_key.tsv	Retrospective generated-truth benchmark; the shifted 40-packet current-task audit is reported separately.
SIM-03	Legacy evidence-tier continuity calibration	weighted kappa 0.9047619048; mean absolute tier error 0.184375; false upgrade 0.05625; false downgrade 0.125	results/ted_submission_calibration/controlled_truth_metrics.tsv; results/ted_submission_calibration/controlled_truth_key.tsv; results/ted_submission_calibration/ted_packet_predictions.tsv	These source fields use the old single-axis evidence tier and do not independently validate the revised E/V axes.
SIM-04	Packet-class compatibility-set coverage	no shift 0.900 with mean size 1.80; shift 0.875 with mean size 1.825	results/ted_submission_calibration/ambiguity_calibration.tsv	Rule-generated descriptive packet-class sets; no exchangeability or conformal coverage theorem.
CURRENT-01	Current shifted-audit benchmark	40 packets; TED packet-class macro-F1 0.740577; artifact F1 0.615385; E-level macro-F1 0.761024; false E promotion 0; false E demotion 0.225; supported-event coverage 0.700; auditable reason codes Yes	results/ted_current_task_benchmark/current_task_metrics.tsv; results/ted_current_task_benchmark/audit_predictions.tsv; results/ted_current_task_benchmark/current_task_packet_partitions.tsv	Retrospective shifted audit with development and tuning partitions fixed before audit scoring; not an untouched prospective test.
BASE-01	Executable baseline comparison	packet-class TED-minus-random-forest -0.109423 (95% CI -0.230828 to -0.010725); E-level TED-minus-random-forest 0.134358 (-0.004321 to 0.252398); logistic regression and random forest lack TED reason-code/evidence-provenance outputs	results/ted_current_task_benchmark/paired_deltas.tsv; results/ted_current_task_benchmark/current_task_metrics.tsv; results/ted_current_task_benchmark/baseline_tuning_audit.tsv	Supervised models optimize packet-level prediction, whereas TED constrains evidence promotion and records evidence boundaries. The task-specific comparison establishes neither overall superiority nor equivalence.
FDR-01	Event-FDR calibration	mean empirical FDP 0.007929, 0.037164, 0.074857, 0.149421 at q=0.01, 0.05, 0.10, 0.20; worst empirical FDP 0.008876, 0.041890, 0.086613, 0.174048; maximum upper 95% bounds 0.010398, 0.044957, 0.098964, 0.193214; all 36 settings meet upper bound <=1.5q	results/ted_submission_calibration/event_fdr_calibration.tsv; results/ted_submission_calibration/run_config.json	Controlled correlated-z simulations used 10,000 replicates at q=0.01, 5,000 at q=0.05 and 500 at q=0.10/0.20; not a universal real-data FDR guarantee and not a correction for adaptive-window selection.
FDR-02	Confounded true-event calibration	mean raw power 0.294463; gated power 0.262321; false demotion among all true events 0.032142 and conditional on raw detection 0.098145; maximum gated false promotion 0.003083	results/ted_submission_calibration/confounded_signal_calibration.tsv; results/ted_submission_calibration/run_config.json	Low false promotion is partly purchased through demotion, especially in two-block composition-confounded settings; both operating errors must be reported.
NULL-01	Confounded-null fail-closed calibration	10 null families x 4 block counts x 500 replicates; maximum gated false escalation 0.00143333	results/ted_submission_calibration/confounded_null_calibration.tsv; results/ted_submission_calibration/run_config.json	Controlled null simulation, not external biological validation; mixed true-event/confounded-null power and demotion are reported separately.
ZSCAPE-01	Exact leave-one-embryo refitting	2,687,135 cells; 804 embryos and refits; 7,118 event rows; 1,483 called	results/ted_submission_supplement/zscape_leave_one_embryo_full_refit/summary.tsv; results/ted_submission_supplement/zscape_leave_one_embryo_full_refit/leave_one_embryo_refits.tsv; results/ted_submission_supplement/zscape_leave_one_embryo_full_refit/full_event_table.tsv	Cells were aggregated to embryo units before inference.
