dataset	analysis_role	expected_source	expected_event	expected_outcome	claim_if_pass	claim_if_fail	claim_boundary	status
GSE153056	main_known_source_outcome	CRISPR_perturbation_plus_IFNg	IFNg_JAK_STAT_PDL1	CD274_RNA_and_PDL1_surface_protein	outcome_supported_event_for_TED_methodology	no_TED_methodology_claim_for_RNA_protein_alignment	not_GATA1_T21_biology	frozen_before_validation
GSE93735	main_intervention_reversal	LPS_activation_with_dexamethasone_intervention	LPS_inflammatory_activation	Dex_LPS_reversal_fraction	reversal_supported_event_for_claim_boundary_audit	matched_intervention_positive_stratum_not_supported	not_GSE271399_rescue	frozen_before_validation
GSE90546	main_pathway_branch_specificity	CRISPRi_UPR_gene_perturbation	UPR_branch_specific_response	expected_branch_greater_than_unrelated_branch	pathway_branch_specific_TED_event	UPR_branch_specificity_not_claimed	not_rescue_or_cell_fate_outcome	frozen_before_validation
GSE90063	supplement_tf_lps_modulation	TF_perturbation_plus_LPS	LPS_response_modulation	TF_effect_on_response_score	supplementary_inflammatory_perturbation_adapter	supplementary_only_no_claim	not_matched_rescue	frozen_before_validation
GSE133344	supplement_crispra_combination_scalability	single_and_combinatorial_CRISPRa	event_mode_or_interaction_deviation	interaction_like_transcriptional_deviation	supplementary_scalability_benchmark	scalability_extension_not_claimed	not_independent_functional_outcome	frozen_before_validation
SCP1064	secondary_known_source_rna_event_protein_outcome	melanoma_CRISPR_perturbation_TIL_coculture	immune_evasion_antigen_presentation_interferon_response_or_T_cell_interaction_modules	protein_readout_from_CITE_or_Protein_expression	outcome_supported_event_for_TED_methodology	no_SCP1064_TED_methodology_claim	outcome_supported_event_if_all_gates_pass	frozen_before_validation
GSE298761	gata1_cross_dataset_support	GATA1_N_terminus_or_GATA1s	erythroid_heme_maturation_axis_loss	cross_dataset_direction_consistency	cross_dataset_mechanistic_support	not_used_for_GATA1_cross_dataset_support	not_human_T21_matched_rescue	frozen_before_validation
GSE315981	gata1_cross_dataset_support	GATA1s_vs_GATA1FL	heme_erythroid_axis_loss	cross_dataset_direction_consistency	cross_dataset_mechanistic_support	not_used_for_GATA1_cross_dataset_support	not_T21_or_rescue	frozen_before_validation
GSE36787	gata1_cross_dataset_support	human_T21_GATA1s_iPSC_proxy	heme_erythroid_axis_loss	cross_dataset_direction_consistency	direct_human_proxy_directional_support	not_used_for_GATA1_cross_dataset_support	not_modern_single_cell_rescue	frozen_before_validation
GSE130156	gata1_cross_dataset_support	mouse_Gata1s_with_Gata2_rescue_context	heme_erythroid_axis_loss_and_immature_axis_gain	cross_dataset_direction_consistency	mouse_downstream_regulatory_support	not_used_for_GATA1_cross_dataset_support	not_human_T21_same_system_rescue	frozen_before_validation
