benchmark_dimension	TED_value	simpler_baseline_value	interpretation	source_table	source_panel	method	direct_package	language	native_task	selected_for_main_comparison	local_status	package_version	docker_baseline_environment	ablation_module	removed_component	false_positive_rate	event_recovery	event_type_accuracy	overclaim_rate	artifact_rejection_rate	runtime_seconds	expected_failure_mode	evidence_source	delta_false_positive_rate_vs_full	delta_event_recovery_vs_full	delta_event_type_accuracy_vs_full	delta_overclaim_rate_vs_full	delta_artifact_rejection_rate_vs_full	delta_runtime_seconds_vs_full	ablation_interpretation	variant	variant_label	improves_benchmark	passes_stress_test	preserves_gse271399_family	zscape_holdout_ok	rejects_negative_control	does_not_inflate_claim_ceiling	runtime_ok	recommendation	decision_reason	displayed_gate_count
Event signal recovery	0.945	0.876	Signal recovery is competitive but is shown as context, not the primary claimed advantage.	phase4_6_baseline_metric_table.tsv mean across six benchmark tasks; TED-Development vs score_smooth_baseline	B																																					
Event-type accuracy	0.923	0.364	TED interprets detected signals as event modes rather than only smoothed activity changes.	phase4_6_baseline_metric_table.tsv mean across six benchmark tasks; TED-Development vs score_smooth_baseline	B																																					
Artifact rejection	0.91	0.409	TED rejects control-driven artifacts more effectively than score-smooth event calling.	phase4_6_baseline_metric_table.tsv mean across six benchmark tasks; TED-Development vs score_smooth_baseline	B																																					
Overclaim rate	0.039	0.4	TED's claim ceiling and evidence gates reduce claim inflation.	phase4_6_baseline_metric_table.tsv mean across six benchmark tasks; TED-Development vs score_smooth_baseline	B																																					
Low-signal claim-ceiling downgrade rate	0.788	0.026	TED downgrades poorly identifiable low-signal cases rather than forcing a strong event claim.	phase4_5_performance_ci.tsv; signal_strength=0.1; TED-Development vs score_then_smooth	B																																					
					A_direct_external_baseline	tradeSeq	tradeSeq	R/Bioconductor	trajectory gene dynamics	True	executed	1.24.0	Dockerfile.baselines + environment.baselines.yml																													
					A_direct_external_baseline	GSVA	GSVA	R/Bioconductor	pathway activity scoring	True	executed	2.4.4	Dockerfile.baselines + environment.baselines.yml																													
					A_direct_external_baseline	AUCell	AUCell	R/Bioconductor	sparse gene-set activity	False	executed	1.32.0	Dockerfile.baselines + environment.baselines.yml																													
					A_direct_external_baseline	POT_OT	POT	Python	optimal transport state matching	True	executed	0.9.6.post1	Dockerfile.baselines + environment.baselines.yml																													
					C									full_TED	none	0.0113636363636363	1.0	1.0	0.0	0.9886363636363636	2.113462499997695	reference full system	measured Phase 4.1 synthetic + stress + real-data benchmark	0.0	0.0	0.0	0.0	0.0	0.0	reference												
					C									minus_event_FDR	event-level FDR/q-value filtering	0.625	1.0	1.0	0.625	0.375	1.986654749997833	raw effect-size calls promote more null/permutation rows	stress-test rows rescored by effect threshold without q-values	0.6136363636363636	0.0	0.0	0.625	-0.6136363636363636	-0.1268077499998618	module_is_functionally_important												
					C									minus_block_permutation	sample/embryo block robustness	0.125	1.0	1.0	0.125	0.875	1.7330392499981098	sample-level false positives increase under sample-label permutation	sample_label_permutation stress-test rows	0.1136363636363637	0.0	0.0	0.125	-0.1136363636363636	-0.3804232499995852	module_is_functionally_important												
					C									minus_matched_state	matched-state / composition-artifact correction	0.1363636363636363	1.0	0.9090909090909092	0.1363636363636363	0.8636363636363636	1.5216929999983404	composition-only artifact is promoted as a biological event	composition_only_artifact stress row and synthetic composition-artifact event	0.125	0.0	-0.0909090909090909	0.1363636363636363	-0.125	-0.5917694999993546	module_is_functionally_important												
					C									minus_claim_ceiling	claim ceiling / scaffold boundary	0.0113636363636363	1.0	1.0	0.5714285714285714	0.9886363636363636	2.050058624997764	scaffold, negative-control, and sanity datasets are overclaimed as stronger evidence	real-data benchmark pass_scaffold / negative-control / sanity rows	0.0	0.0	0.0	0.5714285714285714	0.0	-0.0634038749999308	module_is_functionally_important												
					C									minus_delay_classifier	delay/loss/redirection/accumulation classifier	0.0113636363636363	1.0	0.6363636363636364	0.3636363636363636	0.9886363636363636	1.606231499998248	developmental delay, true loss, redirection, and accumulation are mixed	synthetic mode-specific event-type overrides	0.0	0.0	-0.3636363636363636	0.3636363636363636	0.0	-0.5072309999994469	module_is_functionally_important												
					D																										V0	Locked TED-current	True	True	True	True	True	True	True	keep_primary	Frozen reference	4.0
					D																										V4	TED-ChangePointEvent	True	False	True	True	False	False	True	reject_claim_inflation	composite=4.533; overclaim=0.054; artifact_rejection=0.910; zscape_ok=True	1.0
					D																										V8	TED-EnsembleEvidence	True	True	True	True	True	True	True	candidate_vnext	composite=4.660; overclaim=0.022; artifact_rejection=0.971; zscape_ok=True	4.0
