panel	section	method_or_field	metric	value	source_or_interpretation
A	two_layer_benchmark	native_upstream_task	output_scope	trajectory_DE_module_scores_sparse_activity_OT_matching	Native tools evaluated on native tasks.
A	two_layer_benchmark	TED_object_task	output_scope	event_mode_artifact_gates_block_robustness_evidence_boundary	Downstream event-object layer.
B	expert_comparator	TED	event_mode_accuracy	0.922	Same input/split benchmark summary.
B	expert_comparator	expert_composed	event_mode_accuracy	0.751	Composite upstream + block + matched-state + controls workflow.
B	expert_comparator	score_smooth	event_mode_accuracy	0.364	Score-then-smooth baseline.
C	field_coverage	native_package	signal	yes	Native packages provide upstream signal outputs.
C	field_coverage	native_package	mode	no	Not a native field for most upstream tools.
C	field_coverage	native_package	block	no	Not a native field for most upstream tools.
C	field_coverage	native_package	controls	no	Not a native field for most upstream tools.
C	field_coverage	native_package	claim	no	Not a native field for most upstream tools.
C	field_coverage	expert_composed	signal	yes	Manually composable workflow.
C	field_coverage	expert_composed	mode	manual	Manual event-mode interpretation.
C	field_coverage	expert_composed	block	manual	Manual block-support assembly.
C	field_coverage	expert_composed	controls	manual	Manual negative-control assembly.
C	field_coverage	expert_composed	claim	manual	Manual claim-cap assignment.
C	field_coverage	TED	signal	yes	Standardized event-object field.
C	field_coverage	TED	mode	yes	Standardized event-object field.
C	field_coverage	TED	block	yes	Standardized event-object field.
C	field_coverage	TED	controls	yes	Standardized event-object field.
C	field_coverage	TED	claim	yes	Standardized event-object field.
D	non_circular_metrics	ground_truth_correctness	metric_source	synthetic_labels_held_out_splits_stress_nulls	Biological correctness metrics use external truth or held-out/null designs.
D	non_circular_metrics	reporting_completeness	metric_source	mode_availability_claim_boundary_missing_evidence	Reporting fields are summarized separately from biological correctness.
E	low_identifiability	TED	downgrade_rate	0.788	Low-signal adversarial regime.
E	low_identifiability	baseline	downgrade_rate	0.026	Low-signal adversarial regime.
E	low_identifiability	TED	overclaim_rate	0.030	Low-signal adversarial regime.
E	low_identifiability	baseline	overclaim_rate	0.455	Low-signal adversarial regime.
F	interpretation	TED	downstream_layer	native_output_to_event_object_to_claim_boundary	Reporting-field availability is separated from biological correctness.
